"","SEX","MAJOR","ACCEPT"
"1","male","A        ","yes"
"2","male","A        ","yes"
"3","male","A        ","yes"
"4","male","A        ","yes"
"5","male","A        ","yes"
"6","male","A        ","yes"
"7","male","A        ","yes"
"8","male","A        ","yes"
"9","male","A        ","yes"
"10","male","A        ","yes"
"11","male","A        ","yes"
"12","male","A        ","yes"
"13","male","A        ","yes"
"14","male","A        ","yes"
"15","male","A        ","yes"
"16","male","A        ","yes"
"17","male","A        ","yes"
"18","male","A        ","yes"
"19","male","A        ","yes"
"20","male","A        ","yes"
"21","male","A        ","yes"
"22","male","A        ","yes"
"23","male","A        ","yes"
"24","male","A        ","yes"
"25","male","A        ","yes"
"26","male","A        ","yes"
"27","male","A        ","yes"
"28","male","A        ","yes"
"29","male","A        ","yes"
"30","male","A        ","yes"
"31","male","A        ","yes"
"32","male","A        ","yes"
"33","male","A        ","yes"
"34","male","A        ","yes"
"35","male","A        ","yes"
"36","male","A        ","yes"
"37","male","A        ","yes"
"38","male","A        ","yes"
"39","male","A        ","yes"
"40","male","A        ","yes"
"41","male","A        ","yes"
"42","male","A        ","yes"
"43","male","A        ","yes"
"44","male","A        ","yes"
"45","male","A        ","yes"
"46","male","A        ","yes"
"47","male","A        ","yes"
"48","male","A        ","yes"
"49","male","A        ","yes"
"50","male","A        ","yes"
"51","male","A        ","yes"
"52","male","A        ","yes"
"53","male","A        ","yes"
"54","male","A        ","yes"
"55","male","A        ","yes"
"56","male","A        ","yes"
"57","male","A        ","yes"
"58","male","A        ","yes"
"59","male","A        ","yes"
"60","male","A        ","yes"
"61","male","A        ","yes"
"62","male","A        ","yes"
"63","male","A        ","yes"
"64","male","A        ","yes"
"65","male","A        ","yes"
"66","male","A        ","yes"
"67","male","A        ","yes"
"68","male","A        ","yes"
"69","male","A        ","yes"
"70","male","A        ","yes"
"71","male","A        ","yes"
"72","male","A        ","yes"
"73","male","A        ","yes"
"74","male","A        ","yes"
"75","male","A        ","yes"
"76","male","A        ","yes"
"77","male","A        ","yes"
"78","male","A        ","yes"
"79","male","A        ","yes"
"80","male","A        ","yes"
"81","male","A        ","yes"
"82","male","A        ","yes"
"83","male","A        ","yes"
"84","male","A        ","yes"
"85","male","A        ","yes"
"86","male","A        ","yes"
"87","male","A        ","yes"
"88","male","A        ","yes"
"89","male","A        ","yes"
"90","male","A        ","yes"
"91","male","A        ","yes"
"92","male","A        ","yes"
"93","male","A        ","yes"
"94","male","A        ","yes"
"95","male","A        ","yes"
"96","male","A        ","yes"
"97","male","A        ","yes"
"98","male","A        ","yes"
"99","male","A        ","yes"
"100","male","A        ","yes"
"101","male","A        ","yes"
"102","male","A        ","yes"
"103","male","A        ","yes"
"104","male","A        ","yes"
"105","male","A        ","yes"
"106","male","A        ","yes"
"107","male","A        ","yes"
"108","male","A        ","yes"
"109","male","A        ","yes"
"110","male","A        ","yes"
"111","male","A        ","yes"
"112","male","A        ","yes"
"113","male","A        ","yes"
"114","male","A        ","yes"
"115","male","A        ","yes"
"116","male","A        ","yes"
"117","male","A        ","yes"
"118","male","A        ","yes"
"119","male","A        ","yes"
"120","male","A        ","yes"
"121","male","A        ","yes"
"122","male","A        ","yes"
"123","male","A        ","yes"
"124","male","A        ","yes"
"125","male","A        ","yes"
"126","male","A        ","yes"
"127","male","A        ","yes"
"128","male","A        ","yes"
"129","male","A        ","yes"
"130","male","A        ","yes"
"131","male","A        ","yes"
"132","male","A        ","yes"
"133","male","A        ","yes"
"134","male","A        ","yes"
"135","male","A        ","yes"
"136","male","A        ","yes"
"137","male","A        ","yes"
"138","male","A        ","yes"
"139","male","A        ","yes"
"140","male","A        ","yes"
"141","male","A        ","yes"
"142","male","A        ","yes"
"143","male","A        ","yes"
"144","male","A        ","yes"
"145","male","A        ","yes"
"146","male","A        ","yes"
"147","male","A        ","yes"
"148","male","A        ","yes"
"149","male","A        ","yes"
"150","male","A        ","yes"
"151","male","A        ","yes"
"152","male","A        ","yes"
"153","male","A        ","yes"
"154","male","A        ","yes"
"155","male","A        ","yes"
"156","male","A        ","yes"
"157","male","A        ","yes"
"158","male","A        ","yes"
"159","male","A        ","yes"
"160","male","A        ","yes"
"161","male","A        ","yes"
"162","male","A        ","yes"
"163","male","A        ","yes"
"164","male","A        ","yes"
"165","male","A        ","yes"
"166","male","A        ","yes"
"167","male","A        ","yes"
"168","male","A        ","yes"
"169","male","A        ","yes"
"170","male","A        ","yes"
"171","male","A        ","yes"
"172","male","A        ","yes"
"173","male","A        ","yes"
"174","male","A        ","yes"
"175","male","A        ","yes"
"176","male","A        ","yes"
"177","male","A        ","yes"
"178","male","A        ","yes"
"179","male","A        ","yes"
"180","male","A        ","yes"
"181","male","A        ","yes"
"182","male","A        ","yes"
"183","male","A        ","yes"
"184","male","A        ","yes"
"185","male","A        ","yes"
"186","male","A        ","yes"
"187","male","A        ","yes"
"188","male","A        ","yes"
"189","male","A        ","yes"
"190","male","A        ","yes"
"191","male","A        ","yes"
"192","male","A        ","yes"
"193","male","A        ","yes"
"194","male","A        ","yes"
"195","male","A        ","yes"
"196","male","A        ","yes"
"197","male","A        ","yes"
"198","male","A        ","yes"
"199","male","A        ","yes"
"200","male","A        ","yes"
"201","male","A        ","yes"
"202","male","A        ","yes"
"203","male","A        ","yes"
"204","male","A        ","yes"
"205","male","A        ","yes"
"206","male","A        ","yes"
"207","male","A        ","yes"
"208","male","A        ","yes"
"209","male","A        ","yes"
"210","male","A        ","yes"
"211","male","A        ","yes"
"212","male","A        ","yes"
"213","male","A        ","yes"
"214","male","A        ","yes"
"215","male","A        ","yes"
"216","male","A        ","yes"
"217","male","A        ","yes"
"218","male","A        ","yes"
